2015-10-16 - 2015-12-30,ECL 2015 Autumn,"$30,824.00"
2015-12-23 - 2015-12-30,SLTV ProSeries Season XIII,"$2,000.00"
2015-07-01 - 2015-12-29,The BTS Series,"$49,250.00"
2015-12-25 - 2015-12-27,Dota 2 Radiant and Dire Cup 2015,"$154,358.00"
2015-04-05 - 2015-12-27,Go4Dota2 EU,"$19,159.50"
2015-12-14 - 2015-12-21,ProDotA Cup Americas,"$5,000.00"
2015-12-14 - 2015-12-21,ProDotA Cup Europe,"$5,000.00"
2015-11-30 - 2015-12-20,1ª Liga Baiana de Dota 2,$502.06
2015-12-17 - 2015-12-20,WCA 2015,"$677,284.40"
2015-12-11 - 2015-12-13,insomnia56,"$7,611.57"
2015-12-11 - 2015-12-13,Malaysia Cyber Games 2015,"$44,962.13"
2015-12-09 - 2015-12-13,The Summit 4,"$114,867.00"
2015-11-07 - 2015-12-13,XLG Dota 2,"$6,982.98"
2015-12-01 - 2015-12-10,D2CL Christmas Charity Magic,"$40,000.00"
2015-09-14 - 2015-12-06,Game Show GEC Season 1,"$299,999.99"
2015-09-07 - 2015-12-06,The Defense Season 5,"$78,587.00"
2015-01-30 - 2015-12-02,MSI Dragon Battle,"$19,878.84"
2015-09-29 - 2015-11-28,DreamHack Winter 2015,"$150,000.00"
2015-10-17 - 2015-11-28,NVIDIA Dota 2 CIS Cup Series,"$3,000.00"
2015-11-06 - 2015-11-23,Hitbox EU Championship #4,"$2,500.00"
2015-11-16 - 2015-11-21,The Frankfurt Major 2015,"$3,000,000.00"
2015-09-20 - 2015-11-12,D2CL Season 6,"$50,000.00"
2015-10-01 - 2015-11-10,SEA Dragon Battle Season 3,"$2,000.00"
2015-10-30 - 2015-11-08,PGL Dota 2 Pro-AM,"$50,000.00"
2015-11-06 - 2015-11-07,Game Evolution 2015,"$10,891.04"
2015-10-26 - 2015-11-01,Nanyang Dota 2 Championships,"$220,183.00"
2015-10-29 - 2015-11-01,WCA 2015 - EU Open Qualifiers,"$12,500.00"
2015-10-24 - 2015-10-25,Game Show Open Tele2 Grand Final,"$1,763.15"
2015-09-06 - 2015-10-19,Sudamerican Master 3,"$3,500.00"
2015-10-16 - 2015-10-18,MLG World Finals 2015,"$284,953.00"
2015-10-07 - 2015-10-14,WCA 2015 - Asia Pro Qualifiers,"$102,380.20"
2015-10-09 - 2015-10-12,Brasil Game Cup 2015,"$16,063.20"
2015-10-09 - 2015-10-11,DGC League 2015,"$3,743.98"
2015-10-09 - 2015-10-11,TCEG Con 2015,$173.79
2015-10-01 - 2015-10-04,epic.SIXTEEN,"$1,532.05"
2015-10-03 - 2015-10-04,ESL One New York 2015,"$286,589.00"
2015-09-14 - 2015-10-04,Game Show Global eSports Cup Season 1 - CIS Qualifier,"$20,000.00"
2015-10-03 - 2015-10-04,XLG #2,"$1,525.79"
2015-09-21 - 2015-09-24,WCA 2015 - EU Qualifiers,"$97,500.00"
2015-09-17 - 2015-09-20,Elimination Mode,"$10,000.00"
2015-09-19 - 2015-09-20,XLG #1,"$1,268.53"
2015-09-11 - 2015-09-13,Alienware Summer's End Cup,"$10,000.00"
2015-08-20 - 2015-09-13,Uprise Champions Cup Season 3,"$3,000.00"
2015-08-24 - 2015-09-01,Hitbox EU Championship #3,"$2,500.00"
2015-08-28 - 2015-08-30,insomnia55,"$7,695.75"
2015-08-29 - 2015-08-30,South East Asia Dota 2 Championship,"$10,000.00"
2015-03-27 - 2015-08-27,Corsair Gaming Arena,"$12,000.00"
2015-07-20 - 2015-08-23,On Art Challenge Series Season 2,$571.49
2015-08-11 - 2015-08-20,Asia Arena Cup,"$4,000.00"
2015-07-23 - 2015-08-15,NXTGAME Dota 2 Invitational,"$2,000.00"
2015-08-03 - 2015-08-08,The International 2015,"$18,429,613.05"
2015-07-31 - 2015-08-02,TTÜ e-Sport 2015 Suvi,$715.66
2015-07-30 - 2015-08-01,ASSEMBLY Summer 2015,"$1,926.75"
2015-07-25 - 2015-07-26,Acer Game Show - Season 1,"$5,834.15"
2015-07-25 - 2015-07-26,LanCraft 2015,"$1,624.00"
2015-07-19 - 2015-07-25,Hitbox Challenger by Razer,"$5,000.00"
2015-07-08 - 2015-07-23,SEA Dragon Battle #2,"$2,000.00"
2015-07-10 - 2015-07-22,DouyuTV Dota 2 Tournament,"$25,768.00"
2015-07-14 - 2015-07-22,HuomaoTV Mid-summer League Season 1,"$24,157.52"
2015-07-16 - 2015-07-19,epic.FIFTEEN,"$1,560.31"
2015-01-21 - 2015-07-12,DPL Season 3,"$265,378.00"
2015-07-03 - 2015-07-06,ESCC 2015,"$64,408.00"
2015-04-14 - 2015-07-05,WCA 2015 - CN Qualifiers,"$130,507.20"
2015-05-09 - 2015-07-01,G-League 2015,"$43,532.10"
2015-05-05 - 2015-06-30,Game Show Dota 2 Invitational,"$15,000.00"
2015-06-22 - 2015-06-26,ProDota Cup,"$1,677.47"
2015-06-23,E-sport-bets Celebration Show-match,"$7,500.00"
2015-06-20 - 2015-06-21,ESL One Frankfurt 2015,"$296,202.00"
2015-03-28 - 2015-06-15,DreamHack Summer 2015,"$160,446.38"
2015-04-11 - 2015-06-14,ECL 2015 Spring,"$32,203.80"
2015-03-15 - 2015-06-13,Razer Think Fast Cup 2,"$10,000.00"
2015-05-02 - 2015-06-10,Mountain Trail Challenge,"$6,822.31"
2015-06-02 - 2015-06-07,FirstGameTV Dota 2 Cup,"$10,000.00"
2015-04-20 - 2015-06-07,joinDOTA MLG Pro League Season 2,"$167,247.00"
2015-05-07 - 2015-06-07,MarsTV Dota 2 League 2015,"$334,835.92"
2015-05-18 - 2015-06-07,Polish DOTA2 Championship Season 2,$534.45
2015-06-05 - 2015-06-06,Logitech’s Free 2 Play (Dota 2),$973.38
2015-05-03 - 2015-06-02,WCA 2015 - AM Qualifiers,"$102,800.00"
2015-05-28,SLTV ProSeries Season XII,"$1,500.00"
2015-01-17 - 2015-05-26,Esportal Dota 2 League,"$115,302.10"
2015-05-11 - 2015-05-24,AOC & Rapoo Masters Championships,"$3,000.00"
2015-05-24,Uprise Champions Cup Season 2,"$2,042.00"
2015-04-06 - 2015-05-23,i-league Season 3,"$420,251.38"
2015-04-06 - 2015-05-20,Canada Cup S5,"$11,898.00"
2015-02-13 - 2015-05-20,GIGABYTE Challenge,"$11,079.54"
2015-02-26 - 2015-05-17,The Summit 3,"$271,685.00"
2015-04-07 - 2015-05-15,Yard G2A Fest Ep.1,"$9,500.00"
2015-05-09 - 2015-05-11,Press Start LAN 2015,$0.00
2015-02-23 - 2015-05-10,D2CL Season 5,"$79,503.00"
2015-05-09 - 2015-05-10,MPGL SEA Season VII,"$50,000.00"
2015-04-06 - 2015-05-10,RBBG Dota 2,"$88,280.00"
2015-05-01 - 2015-05-04,MCS Open Season 2,"$9,600.00"
2015-04-27 - 2015-05-03,InsideDOTA Challenge #2,"$5,000.00"
2015-05-03,Play It Cool,"$30,000.00"
2015-05-01 - 2015-05-03,X5 Mega Arena 3,"$4,641.69"
2015-03-09 - 2015-04-26,SLTV StarSeries Season XII,"$150,000.00"
2015-04-15 - 2015-04-24,G-Guard Challenge,"$3,500.00"
2015-04-20 - 2015-04-23,Hitbox EU Championship #2,"$2,700.12"
2015-03-18 - 2015-04-19,Romanian Dota 2 Pro League,"$1,620.99"
2015-04-06 - 2015-04-19,VPGame Pro League,"$24,208.50"
2015-01-24 - 2015-04-12,joinDOTA MLG Pro League,"$86,460.00"
2015-02-28 - 2015-04-11,South America Challenge Tour,"$1,000.00"
2015-04-03 - 2015-04-06,insomnia54,"$5,971.71"
2015-04-02 - 2015-04-05,InsideDOTA Challenge #1,"$4,000.00"
2015-04-01 - 2015-04-05,The Gathering 2015,"$1,827.76"
2015-03-19 - 2015-04-03,GEST SEA Cup 2015,"$3,000.00"
2015-03-28,EsportFest March 2015,$271.50
2015-02-01 - 2015-03-22,Major All Stars,"$104,361.00"
2015-03-18 - 2015-03-19,EIZO Cup #15,"$2,128.67"
2015-03-13 - 2015-03-16,Hitbox EU Championship,"$2,618.07"
2015-01-19 - 2015-03-13,Hitbox Obutto Championship #2,"$5,000.00"
2015-03-06 - 2015-03-08,Lan ETS 2015,"$2,759.26"
2015-02-28 - 2015-03-04,The Prime Major,"$1,500.00"
2015-02-21 - 2015-03-02,Iron Trophy Europe,"$3,000.00"
2015-01-30 - 2015-03-01,Canada Cup S4,"$7,000.00"
2015-01-22 - 2015-02-28,joinDOTA Masters,"$30,000.00"
2015-02-27 - 2015-02-28,Lantrek 2015,"$1,970.67"
2015-02-19 - 2015-02-22,epic.FOURTEEN,"$1,539.75"
2015-02-11 - 2015-02-12,EIZO Cup #14,"$2,263.03"
2015-01-05 - 2015-02-09,DAC 2015,"$3,057,521.00"
2015-01-28 - 2015-01-30,BountyHunter Series,"$2,500.00"
2015-01-12 - 2015-01-28,Bridon Open Cup,"$7,075.00"
2015-01-25,Dota Regions Season 2,"$3,000.00"
2015-01-20 - 2015-01-23,Alienware Area 51,"$10,000.00"
2014-11-14 - 2015-01-18,SLTV StarSeries Season XI,"$86,227.00"
2015-01-18,Uprise Champions Cup Season 1,"$1,530.00"
2014-11-15 - 2015-01-15,Deadly Gaming Cup Season 1,"$10,000.00"
2015-01-06 - 2015-01-13,SLTV ProSeries Season XI,"$1,500.00"
2015-12-22 - 2015-01-12,Hitbox Elite Cup,"$2,500.00"
2015-01-10 - 2015-01-11,MCS Open Season 1,"$14,580.00"
2014-10-13 - 2015-01-06,Dota 2 League,"$59,326.00"
2014-11-17 - 2015-01-06,i-League Season 2,"$129,259.23"
2016-09-23 - 2016-12-31,Dota2 Professional League Season 2,"$800,000.00"
2016-01-18 - 2016-12-30,ProDotA Cup Americas,"$35,000.00"
2016-03-25 - 2016-12-22,WellPlay Invitational,"$20,000.00"
2016-12-19 - 2016-12-21,SLTV ProSeries Season XVII,"$2,500.00"
2016-11-02 - 2016-12-20,SEA Kappa Invitational Season 3,"$10,000.00"
2016-12-17 - 2016-12-18,China Top 2016,"$229,912.00"
2016-12-03 - 2016-12-18,ZEN PRO LEAGUE,"$3,375.00"
2016-12-14 - 2016-12-16,WCA 2016,"$596,226.10"
2016-07-29 - 2016-12-11,ESL India Premiership 2016,"$19,127.78"
2016-12-03 - 2016-12-10,The Boston Major 2016,"$3,000,000.00"
2016-01-22 - 2016-11-30,ProDotA Cup Europe,"$55,000.00"
2016-10-09 - 2016-11-27,Copa da Abertura dos Surdos 2016,$131.51
2016-10-11 - 2016-11-26,DreamLeague Season 6,"$231,000.00"
2016-11-01 - 2016-11-23,Elimination Mode 2.0,"$20,000.00"
2016-11-07 - 2016-11-22,D2CL Season 9,"$5,000.00"
2016-11-09 - 2016-11-22,Royal Arena #1,"$5,000.00"
2016-11-16 - 2016-11-20,The Summit 6,"$100,000.00"
2016-11-10 - 2016-11-13,ASUS ROG Master 2016,"$150,000.00"
2016-11-10 - 2016-11-13,Northern Arena 2016 - Montreal,"$100,000.00"
2016-11-10 - 2016-11-13,WESG 2016 - Asia-Pacific Finals,"$73,305.50"
2016-03-19 - 2016-11-12,WCA 2016 - CN Qualifiers,"$179,472.80"
2016-08-15 - 2016-11-08,ProDotA Cup SEA,"$15,000.00"
2016-11-05 - 2016-11-06,DOTA2.PL LAN 2016,$513.34
2016-11-04 - 2016-11-06,PAX Australia Melbourne 2016,"$1,534.80"
2016-10-21 - 2016-10-23,WESG 2016 - Americas Finals,"$73,964.00"
2016-10-17 - 2016-10-19,FACEIT Invitational,"$25,000.00"
2016-10-17 - 2016-10-19,SLTV ProSeries Season XVI,"$2,500.00"
2016-10-14 - 2016-10-16,epic.NINETEEN,"$1,218.60"
2016-07-06 - 2016-10-16,Nanyang Dota 2 Championships,"$245,798.00"
2016-09-26 - 2016-10-14,D2CL Season 8,"$5,000.00"
2016-09-02 - 2016-10-13,Elements Cup #2,"$20,000.00"
2016-10-07 - 2016-10-09,Telkom DGL Masters 2016 Final,"$36,047.45"
2016-10-06 - 2016-10-09,WESG 2016 - Europe & CIS Finals,"$74,901.50"
2016-09-20 - 2016-10-08,Shanghai Dota 2 Open #2,"$77,911.60"
2016-10-01 - 2016-10-04,WESG 2016 - Chinese Finals,"$26,232.50"
2016-09-28 - 2016-10-02,MarsTV Dota 2 League 2016 Autumn,"$250,000.00"
2016-06-13 - 2016-09-19,joinDOTA League Season 10,"$10,000.00"
2016-09-09 - 2016-09-11,MPGL Southeast Asian Championship,"$50,000.00"
2016-09-02 - 2016-09-05,Brasil Game Cup 2016,"$18,420.00"
2016-02-02 - 2016-09-03,NVIDIA Dota 2 CIS Cup Series,"$9,000.00"
2016-08-23 - 2016-09-01,WCA 2016 - EU Qualifiers,"$61,159.20"
2016-08-26 - 2016-08-28,WESG 2016 - Middle East & Africa Finals,"$74,912.50"
2016-08-03 - 2016-08-13,The International 2016,"$20,770,460.00"
2016-08-05 - 2016-08-06,Assembly Summer 2016,"$2,227.00"
2016-07-20 - 2016-07-31,VPGame Pro League Season 2,"$45,198.00"
2016-07-03 - 2016-07-26,Global Grand Masters Season 1,"$50,000.00"
2016-07-22 - 2016-07-24,PGL 2016,"$100,000.00"
2016-07-21 - 2016-07-24,StarLadder i-League StarSeries Season 2,"$300,000.00"
2016-07-18 - 2016-07-20,SLTV ProSeries Season XV,"$2,500.00"
2016-06-27 - 2016-07-19,MSF - The Creep Season 1,"$8,810.00"
2016-07-13 - 2016-07-17,The Summit 5,"$101,045.00"
2016-06-13 - 2016-07-12,Loot Market Invitational,"$3,000.00"
2016-05-18 - 2016-07-10,Dota2 Professional League Season 1,"$200,000.00"
2016-06-25 - 2016-07-08,G-League 2016,"$58,296.81"
2016-05-22 - 2016-07-08,SEA Kappa Invitational Season 2,"$10,000.00"
2016-07-02 - 2016-07-03,NEA 2016,"$195,468.00"
2016-06-25 - 2016-06-26,Polish DOTA2 League Season III,"$1,235.01"
2016-06-16 - 2016-06-19,epic.EIGHTEEN,"$1,460.91"
2016-06-17 - 2016-06-19,ESL One Frankfurt 2016,"$313,746.00"
2016-06-03 - 2016-06-12,The Manila Major 2016,"$3,000,000.00"
2016-05-27 - 2016-05-29,Asean Games 2016,"$100,207.70"
2016-03-21 - 2016-05-22,DreamLeague Season 5,"$167,000.00"
2016-04-29 - 2016-05-21,WCA 2016 - Asia Qualifiers,"$61,178.00"
2016-05-05 - 2016-05-20,SLTV ProSeries Season XIV,"$2,000.00"
2016-05-09 - 2016-05-15,EPICENTER 2016,"$500,000.00"
2016-04-30 - 2016-05-01,Enthusiast Gaming Live Expo 2016,"$1,195.73"
2016-04-28 - 2016-05-01,WePlay Dota2 League,"$207,446.00"
2016-04-18 - 2016-04-25,Solid Dota2 Challenge,"$4,000.00"
2016-04-22 - 2016-04-24,ESL One Manila 2016,"$250,000.00"
2016-04-15 - 2016-04-17,InfoShow Lan Party 2016,$0.00
2016-04-15 - 2016-04-17,Lan ETS 2016,$0.00
2016-04-14 - 2016-04-17,StarLadder i-League Invitational 2016,"$99,500.00"
2016-01-31 - 2016-04-14,The BTS Series,"$60,000.00"
2016-04-01 - 2016-04-10,Elements Cup #1,"$1,800.00"
2016-04-09 - 2016-04-10,Legends Factory Poznan 2016,"$1,327.10"
2016-04-04 - 2016-04-09,NXTGAME Invitational #2,"$8,000.00"
2016-03-25 - 2016-03-27,insomnia57,"$7,065.27"
2016-03-23 - 2016-03-26,The Gathering 2016,$0.00
2016-03-12 - 2016-03-22,SEA Kappa Invitational Season 1,"$10,000.00"
2016-03-19 - 2016-03-20,DPL Season 4,"$194,814.00"
2016-03-07 - 2016-03-14,Dota 2 Stars Arena,"$5,000.00"
2016-01-03 - 2016-03-13,Go4Dota2 EU,"$5,675.91"
2016-02-23 - 2016-03-10,Click-Storm DOTA 2 League #1,"$3,200.00"
2016-03-02 - 2016-03-06,The Shanghai Major 2016,"$3,000,000.00"
2016-02-20 - 2016-02-21,epic.SEVENTEEN,"$1,080.34"
2016-02-10 - 2016-02-20,NoShang Invitational,"$10,000.00"
2015-11-22 - 2016-02-18,Uprise Champions Cup Europe,"$15,000.00"
2016-01-19 - 2016-02-17,Captains Draft 3.0,"$124,153.00"
2016-02-10 - 2016-02-13,Rumble Town,"$2,827.96"
2016-02-08 - 2016-02-11,Game On Invitational,"$2,000.00"
