gameId,name,start_date,end_date,city,country,region,total_prize
csgo,FACEIT Major: London 2018,2018-09-05,2018-09-23,London,UK,Europe,1000000.00
csgo,ELEAGUE Major: Boston 2018,2018-01-12,2018-01-28,Boston,USA,Americas,1000000.00
csgo,PGL Major Kraków 2017,2017-07-16,2017-07-23,Kraków,Poland,Europe,1000000.00
csgo,ELEAGUE Major: Atlanta 2017,2017-01-22,2017-01-29,Atlanta,USA,Americas,1000000.00
csgo,ESL One: Cologne 2016,2016-07-05,2016-07-10,Cologne,Germany,Europe,1000000.00
csgo,MLG Major: Columbus 2016,2016-03-29,2016-04-03,Columbus,USA,Americas,1000000.00
csgo,DreamHack Open Cluj-Napoca 2015,2015-10-28,2015-11-01,Cluj-Napoca,Romania,Europe,250000.00
csgo,ESL One: Cologne 2015,2015-08-20,2015-08-23,Cologne,Germany,Europe,250000.00
csgo,ESL One: Katowice 2015,2015-03-12,2015-03-15,Katowice,Poland,Europe,250000.00
csgo,Americas Minor Championship London 2018,2018-07-07,2018-07-11,London,UK,Europe,50000.00
csgo,Americas Minor Championship Boston 2018,2017-11-02,2017-11-05,Toronto,Canada,Americas,50000.00
csgo,Americas Minor Championship Kraków 2017,2017-06-08,2017-06-11,Santa,USA,Americas,50000.00
csgo,Americas Minor Championship Atlanta 2017,2016-12-03,2016-12-04,Atlanta,USA,Americas,50000.00
csgo,Americas Minor Championship Cologne 2016,2016-05-19,2016-05-22,Columbus,USA,Americas,50000.00
csgo,Americas Minor Championship Columbus 2016,2016-01-15,2016-01-17,Columbus,USA,Americas,50000.00
csgo,Asia Minor Championship London 2018,2018-07-16,2018-07-20,London,UK,Europe,50000.00
csgo,Asia Minor Championship Boston 2018,2017-10-26,2017-10-29,Seoul,South Korea,Asia,50000.00
csgo,Asia Minor Championship Kraków 2017,2017-06-01,2017-06-04,Beijing,China,Asia,50000.00
csgo,Asia Minor Championship Atlanta 2017,2016-10-28,2016-10-30,Johor Bahru,Malaysia,Asia,50000.00
csgo,Asia Minor Championship Cologne 2016,2016-05-05,2016-05-08,Seoul,South Korea,Asia,50000.00
csgo,Intel Extreme Masters X - Taipei,2016-01-29,2016-02-02,Taipei,Taiwan,Asia,50000.00
csgo,CIS Minor Championship London 2018,2018-07-10,2018-07-13,London,UK,Europe,50000.00
csgo,CIS Minor Championship Boston 2018,2017-10-26,2017-10-29,Bucharest,Romania,Europe,50000.00
csgo,CIS Minor Championship Kraków 2017,2017-06-08,2017-06-11,Moscow,Russia,Europe,50000.00
csgo,CIS Minor Championship Atlanta 2017,2016-11-11,2016-11-13,Saint Petersburg,Russia,Europe,50000.00
csgo,CIS Minor Championship Cologne 2016,2016-04-28,2016-05-01,Moscow,Russia,Europe,50000.00
csgo,CIS Minor Championship Columbus 2016,2016-01-22,2016-01-24,Minsk,Belarus,Europe,50000.00
csgo,Europe Minor Championship London 2018,2018-07-19,2018-07-22,London,UK,Europe,50000.00
csgo,Europe Minor Championship Boston 2018,2017-11-02,2017-11-05,Bucharest,Romania,Europe,50000.00
csgo,Europe Minor Championship Kraków 2017,2017-06-15,2017-06-18,Bucharest,Romania,Europe,50000.00
csgo,Europe Minor Championship Atlanta 2017,2016-11-04,2016-11-06,Bucharest,Romania,Europe,50000.00
csgo,DreamHack DreamHack Tours 2016,2016-05-14,2016-05-16,Tours,France,Europe,50000.00
csgo,Europe Minor Championship Columbus 2016,2016-01-29,2016-01-31,Bucharest,Romania,Europe,50000.00
csgo,TOYOTA Master TOYOTA Master CS:GO Bangkok 2018,2018-11-22,2018-11-25,Bangkok,Thailand,Asia,100000.00
csgo,DreamHack Open DreamHack Open Atlanta 2018,2018-11-16,2018-11-18,Atlanta,USA,Americas,100000.00
csgo,cs_summit 3,2018-11-01,2018-11-04,Los Angeles,USA,Americas,150000.00
csgo,BLAST Pro Series BLAST Pro Series: Copenhagen 2018,2018-11-02,2018-11-03,Copenhagen,Denmark,Europe,250000.00
csgo,eXTREMESLAND eXTREMESLAND ZOWIE Asia CS:GO 2018,2018-10-18,2018-10-21,Shanghai,China,Asia,100000.00
csgo,Games Clash Masters 2018,2018-09-28,2018-09-30,Gdynia,Poland,Europe,90000.00
csgo,BLAST Pro Series BLAST Pro Series: Istanbul 2018,2018-09-28,2018-09-29,Istanbul,Turkey,Europe,250000.00
csgo,DreamHack Open DreamHack Open Montreal 2018,2018-09-07,2018-09-09,Montreal,Canada,Americas,100000.00
csgo,ZOTAC Cup ZOTAC Cup Masters 2018,2018-08-24,2018-08-26,Wan Chai,China,Asia,300000.00
csgo,Intel Extreme Masters Intel Extreme Masters XIII - Shanghai,2018-08-01,2018-08-06,Shanghai,China,Asia,250000.00
csgo,Gfinity Elite Series Gfinity Elite Series AU - Season 1,2018-06-02,2018-07-14,Sydney,Australia,Australia,59406.01
csgo,DreamHack Open DreamHack Open Valencia 2018,2018-07-12,2018-07-14,Valencia,Spain,Europe,100000.00
csgo,DreamHack Open DreamHack Open Summer 2018,2018-06-16,2018-06-18,Jönköping,Sweden,Europe,100000.00
csgo,CS:GO Asia Championships CS:GO Asia Championships 2018,2018-06-14,2018-06-18,Shanghai,China,Asia,300000.00
csgo,Moche XL Esports,2018-06-09,2018-06-10,Lisbon,Portugal,Europe,50000.00
csgo,DreamHack Open DreamHack Open Austin 2018,2018-06-01,2018-06-03,Austin,USA,Americas,100000.00
csgo,Adrenaline Cyber League Adrenaline Cyber League 2018,2018-05-23,2018-05-24,Moscow,Russia,Europe,100000.00
csgo,DreamHack Open DreamHack Open Tours 2018,2018-05-19,2018-05-21,Tours,France,Europe,100000.00
csgo,ESEA ESEA Season 27: Global Challenge,2018-05-11,2018-05-13,Leicester,UK,Europe,50000.00
csgo,World Cyber Arena World Cyber Arena 2017 World Finals,2018-04-29,2018-04-30,Zhuhai,China,Asia,63215.06
csgo,Qi Invitational,2018-04-24,2018-04-26,Belgrade,Serbia,Europe,75000.00
csgo,ESL Pro League ESL Pro League Season 7 - Asia-Pacific,2018-04-20,2018-04-22,Sydney,Australia,Australia,58000.00
csgo,Bets.net Challenger Series Bets.net Masters: Season 1,2018-04-05,2018-04-08,Kiev,Ukraine,Europe,100000.00
csgo,CS:GO Asia Summit,2018-04-02,2018-04-02,Shanghai,China,Asia,60000.00
csgo,CPH Games Copenhagen Games 2018,2018-03-30,2018-03-31,Copenhagen,Denmark,Europe,100000.00
csgo,V4 V4 Future Sports Festival - Budapest 2018,2018-03-23,2018-03-25,Budapest,Hungary,Europe,617903.50
csgo,StarSeries i-League StarLadder & ImbaTV Invitational Chongqing 2018,2018-03-22,2018-03-25,Chongqing,China,Asia,150000.00
csgo,World Electronic Sports Games World Electronic Sports Games 2017: Female,2018-03-15,2018-03-17,Haikou,China,Asia,170000.00
csgo,Play2Live Cryptomasters,2018-02-24,2018-02-25,Minsk,Belarus,Europe,100000.00
csgo,Intel Challenge Intel Challenge Katowice - 2018,2018-02-23,2018-02-24,Katowice,Poland,Europe,50000.00
csgo,cs_summit 2,2018-02-08,2018-02-11,Los Angeles,USA,Americas,150000.00
csgo,World Electronic Sports Games WESG 2017 Asia Pacific Finals,2018-01-11,2018-01-14,Jiaozhou,China,Asia,92500.00
csgo,ESEA ESEA Season 26: Global Challenge,2018-01-05,2018-01-07,New York City,USA,Americas,50000.00
csgo,Polska Liga Esportowa Polska Liga Esportowa S2,2017-09-25,2017-12-18,Warsaw,Poland,Europe,36380.00
csgo,ROG Masters ROG Masters 2017,2017-12-07,2017-12-10,Kuala Lumpur,Malaysia,Asia,235000.00
csgo,Gfinity Elite Series Gfinity Elite Series UK - Season 2,2017-10-06,2017-12-09,London,United Kingdom,Europe,120949.00
csgo,DreamHack Open DreamHack Open Winter 2017,2017-12-01,2017-12-03,Jönköping,Sweden,Europe,100000.00
csgo,CS:GO Super League CS:GO Super League 2017,2017-12-02,2017-12-03,Chengde,China,Asia,30234.97
csgo,World Electronic Sports Games WESG 2017 Europe Finals,2017-11-23,2017-11-26,Barcelona,Spain,Europe,92500.00
csgo,BLAST Pro Series BLAST Pro Series: Copenhagen 2017,2017-11-25,2017-11-25,Copenhagen,Denmark,Europe,250000.00
csgo,China Top China Top 2017 - Shenzhen,2017-11-19,2017-11-22,Shenzhen,China,Asia,112949.83
csgo,IBP iBUYPOWER Masters 2017,2017-11-11,2017-11-12,Santa Ana,USA,Americas,100000.00
csgo,StarSeries i-League StarLadder i-League Invitational #2,2017-11-02,2017-11-05,Shanghai,China,Asia,150000.00
csgo,ESWC Esports World Convention 2017 - Paris Games Week,2017-11-02,2017-11-03,Paris,France,Europe,58247.90
csgo,eXTREMESLAND eXTREMESLAND ZOWIE Asia CS:GO 2017,2017-10-19,2017-10-22,Shanghai,China,Asia,99000.00
csgo,DreamHack Open DreamHack Open Denver 2017,2017-10-20,2017-10-22,Denver,USA,Americas,100000.00
csgo,ESEA ESEA Season 25: Global Challenge,2017-09-23,2017-09-24,Burbank,USA,Americas,50000.00
csgo,DreamHack Open DreamHack Open Montreal 2017,2017-09-08,2017-09-10,Montreal,Canada,Americas,100000.00
csgo,Gfinity Elite Series Gfinity Elite Series UK - Season 1,2017-07-08,2017-09-02,London,United Kingdom,Europe,116563.00
csgo,DreamHack Open DreamHack Open Atlanta 2017,2017-07-21,2017-07-23,Atlanta,USA,Americas,100000.00
csgo,DreamHack Open DreamHack Open Valencia 2017,2017-07-13,2017-07-15,Valencia,Spain,Europe,100000.00
csgo,DreamHack Open DreamHack Open Summer 2017,2017-06-17,2017-06-19,Jönköping,Sweden,Europe,100000.00
csgo,Adrenaline Cyber League Adrenaline Cyber League 2017,2017-06-18,2017-06-18,Moscow,Russia,Europe,100000.00
csgo,ZEN_Esports_Network_League ZEN Esports Network League 2017 - Finals,2017-06-17,2017-06-18,Sydney,Australia,Australia,29725.64
csgo,ESEA ESEA Season 24: Global Challenge,2017-05-13,2017-05-14,Leicester,United Kingdom,Europe,50000.00
csgo,DreamHack Open DreamHack Open Tours 2017,2017-05-06,2017-05-08,Tours,France,Europe,100000.00
csgo,MettleState Samsung Galaxy Championship - Finals,2017-05-05,2017-05-07,Johannesburg,South Africa,Africa,74803.00
csgo,DreamHack Open DreamHack Open Austin 2017,2017-04-28,2017-04-30,Austin,USA,Americas,100000.00
csgo,cs_summit 1,2017-04-20,2017-04-23,Los Angeles,USA,Americas,150000.00
csgo,CPH Games Copenhagen Games 2017,2017-04-13,2017-04-15,Copenhagen,Denmark,Europe,56561.60
csgo,DreamHack Open DreamHack Open Leipzig 2017,2017-01-13,2017-01-15,Leipzig,Germany,Europe,100000.00
csgo,ESEA ESEA Season 23: Global Challenge,2017-01-06,2017-01-08,Burbank,USA,Americas,50000.00
csgo,World Cyber Arena World Cyber Arena 2016 World Finals,2016-12-09,2016-12-11,Yinchuan,China,Asia,195425.00
csgo,ESL/Championnat_National ESL Championnat National - Winter 2016,2016-12-11,2016-12-11,Ivry-sur-Seine,France,Europe,10560.78
csgo,Counter Strike Online World Championship 2016,2016-12-02,2016-12-04,Taipei,Taiwan,Asia,40000.00
csgo,International_Gaming_League International Gaming League 2016 - Grand Finals,2016-11-20,2016-11-27,Shanghai,China,Asia,96872.40
csgo,ESL Meisterschaft: Winter 2016,2016-10-05,2016-11-26,Duisburg,Germany,Europe,18326.27
csgo,ASUS ROG ASUS ROG Masters 2016,2016-11-10,2016-11-13,Kuala Lumpur,Malaysia,Asia,50000.00
csgo,IBP iBUYPOWER Masters 2016,2016-11-12,2016-11-13,Costa Mesa,USA,Americas,100000.00
csgo,Northern Arena Northern Arena 2016 - Montreal,2016-11-10,2016-11-13,Montreal,Canada,Americas,100000.00
csgo,World Electronic Sports Games WESG 2016 Asia Pacific Finals,2016-11-10,2016-11-13,Goyang,South Korea,Asia,73305.72
csgo,Acer Acer Predator Masters Season 3,2016-11-03,2016-11-06,Krefeld,Germany,Europe,50000.00
csgo,ESWC eSports World Convention 2016,2016-10-27,2016-10-30,Paris,France,Europe,75000.00
csgo,ESL UK Premiership ESL UK Premiership - Summer 2016,2016-10-28,2016-10-28,London,United Kingdom,Europe,7291.61
csgo,ZOTAC 10 Year Anniversary World Cup,2016-10-24,2016-10-25,Tsim Sha Tsui,Hong Kong,Asia,10000.00
csgo,World Electronic Sports Games WESG 2016 Americas Finals,2016-10-21,2016-10-23,São Paulo,Brazil,Americas,73918.57
csgo,World Electronic Sports Games WESG 2016 European Finals,2016-10-06,2016-10-09,Kiev,Ukraine,Europe,74901.50
csgo,Telkom/DGL/Masters Telkom DGL Masters 2016 Final,2016-10-07,2016-10-09,Johannesburg,South Africa,Africa,35961.40
csgo,International e-Sports Federation IeSF World Championship 2016,2016-10-06,2016-10-09,Jakarta,Indonesia,Asia,20000.00
csgo,E-Frag/The_World_Championships The World Championships 2016,2016-10-05,2016-10-09,Belgrade,Serbia,Europe,100000.00
csgo,ESL/Mistrzostwa_Polski ESL Polish Championship 2016,2016-10-01,2016-10-01,Lodz,Poland,Europe,7849.00
csgo,Adrenaline Cyber League Adrenaline Cyber League 2016,2016-09-30,2016-10-01,Moscow,Russia,Europe,100000.00
csgo,eXTREMESLAND eXTREMESLAND ZOWIE Asia CS:GO 2016,2016-09-22,2016-09-25,Shanghai,China,Asia,100000.00
csgo,Gfinity Gfinity CS:GO Invitational,2016-09-23,2016-09-25,Birmingham,United Kingdom,Europe,100000.00
csgo,CS:GO Super League CS:GO Super League 2016,2016-09-24,2016-09-25,Chengde,China,Asia,43507.61
csgo,Northern Arena Northern Arena 2016 - Toronto,2016-09-01,2016-09-04,Toronto,Canada,Americas,100000.00
csgo,ESEA ESEA Season 22: Global Challenge,2016-08-27,2016-08-28,Katowice,Poland,Europe,50000.00
csgo,World Electronic Sports Games WESG 2016 Middle East & Africa Finals,2016-08-26,2016-08-28,Dubai,United Arab Emirates,Asia,74908.61
csgo,Power-LAN 2016,2016-08-26,2016-08-27,Odense,Denmark,Europe,26490.80
csgo,E-Sports Festival 2016 Hong Kong,2016-08-19,2016-08-22,Wan Chai,Hong Kong,Asia,19346.00
csgo,ESL Meisterschaft: Summer 2016,2016-06-27,2016-08-20,Cologne,Germany,Europe,19593.07
csgo,Assembly ASUS ROG Assembly Summer 2016,2016-08-05,2016-08-06,Helsinki,Finland,Europe,25000.00
csgo,International_Gaming_League International Gaming League 2016 - Spring,2016-05-28,2016-07-09,Chengdu,China,Asia,43362.50
csgo,ESL/Championnat_National ESL Championnat National - Summer 2016,2016-05-25,2016-07-03,Poitiers,France,Europe,11496.00
csgo,ESL UK Premiership ESL UK Premiership - Spring 2016,2016-07-03,2016-07-03,Leicester,United Kingdom,Europe,7300.16
csgo,ESPORTSM ESPORTSM 2016,2016-06-18,2016-06-18,Jönköping,Sweden,Europe,18004.50
csgo,Asean Games for E-Sports 2016,2016-05-27,2016-05-29,Kuala Lumpur,Malaysia,Asia,75766.79
csgo,World Cyber Arena World Cyber Arena 2016 - Southeast Asian Qualifier,2016-04-15,2016-05-20,Beijing,China,Asia,33632.57
csgo,DreamHack DreamHack Tours 2016,2016-05-14,2016-05-16,Tours,France,Europe,50000.00
csgo,ESEA ESEA Season 21: Premier Division - NA Finals,2016-05-15,2016-05-15,Burbank,USA,Americas,20000.00
csgo,DreamHack Open DreamHack Open Austin 2016,2016-05-06,2016-05-08,Austin,USA,Americas,100000.00
csgo,ESEA ESEA Season 21: Premier Division - Europe Finals,2016-05-07,2016-05-07,Leicester,United Kingdom,Europe,20000.00
csgo,ESL Meisterschaft: Spring 2016,2016-03-07,2016-03-28,Duisburg,Germany,Europe,19732.41
csgo,CPH Games Copenhagen Games 2016,2016-03-25,2016-03-26,Copenhagen,Denmark,Europe,33502.66
csgo,Counter Pit League Counter Pit League Season 2 - Finals,2016-03-17,2016-03-18,Split,Croatia,Europe,80000.00
csgo,Intel Challenge Intel Challenge Katowice - 2016,2016-03-05,2016-03-06,Katowice,Poland,Europe,30000.00
csgo,Pantamera 2.0,2016-02-27,2016-02-28,Stockholm,Sweden,Europe,21857.20
csgo,ESL ESL Expo Barcelona,2016-02-19,2016-02-21,Barcelona,Spain,Europe,83490.00
csgo,Acer Acer Predator Masters Season 2,2016-10-05,2016-10-14,Krefeld,Germany,Europe,40000.00
csgo,Assembly Assembly Winter 2016,2016-02-05,2016-02-06,Helsinki,Finland,Europe,16224.72
csgo,ELEAGUE ELEAGUE Road to Vegas,2016-01-07,2016-01-08,Las Vegas,USA,Americas,50000.00